City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bethel,US,41.3712,-73.414,44.85,82,100,1.99,overcast clouds
1,Atuona,PF,-9.8,-139.0333,78.82,75,12,21.85,few clouds
2,Ushuaia,AR,-54.8,-68.3,40.66,75,75,6.91,moderate rain
3,Yaan,NG,7.3833,8.5667,75.85,29,3,10.4,clear sky
4,Qaanaaq,GL,77.484,-69.3632,-14.21,75,1,5.97,clear sky
5,Saint-Francois,FR,46.4154,3.9054,40.44,100,100,0.0,fog
6,Grevesmuhlen,DE,53.8667,11.1833,38.79,91,8,12.68,clear sky
7,Torbay,CA,47.6666,-52.7314,30.27,92,75,6.91,broken clouds
8,Mataura,NZ,-46.1927,168.8643,69.35,64,96,3.44,overcast clouds
9,Hermanus,ZA,-34.4187,19.2345,70.07,78,6,5.32,clear sky
10,Borujerd,IR,33.8973,48.7516,30.43,43,0,1.23,clear sky
11,Hithadhoo,MV,-0.6,73.0833,80.71,68,2,10.96,clear sky
12,Honningsvag,NO,70.9821,25.9704,28.15,69,20,16.11,light snow
13,Nova Vicosa,BR,-17.8919,-39.3719,70.57,91,90,4.52,overcast clouds
14,Gold Coast,AU,-28.0,153.4333,78.87,99,100,9.22,overcast clouds
15,Kontagora,NG,10.3999,5.4695,66.99,33,2,7.16,clear sky
16,Kodiak,US,57.79,-152.4072,35.11,80,75,3.44,broken clouds
17,Arraial Do Cabo,BR,-22.9661,-42.0278,72.27,89,9,20.62,clear sky
18,Busselton,AU,-33.65,115.3333,85.37,38,0,4.23,clear sky
19,Sokoni,TZ,-6.4333,39.55,85.86,68,26,13.18,scattered clouds
20,Tezu,IN,27.9167,96.1667,74.41,30,0,3.51,clear sky
21,Nelson Bay,AU,-32.7167,152.15,78.1,73,0,18.99,clear sky
22,Maumere,ID,-8.6199,122.2111,80.98,81,97,11.9,overcast clouds
23,Sorong,ID,-0.8833,131.25,84.02,68,100,5.88,overcast clouds
24,Cap Malheureux,MU,-19.9842,57.6142,85.46,58,92,8.99,overcast clouds
25,East London,ZA,-33.0153,27.9116,72.54,83,0,4.61,clear sky
26,Esperance,AU,-33.8667,121.9,68.49,62,0,19.69,clear sky
27,New Norfolk,AU,-42.7826,147.0587,58.71,63,100,4.43,overcast clouds
28,Kunming,CN,25.0389,102.7183,51.73,62,75,13.42,broken clouds
29,Pilar,BR,-9.5972,-35.9567,73.33,92,100,3.62,overcast clouds
30,Karoi,ZW,-16.8099,29.6925,64.38,90,100,1.14,overcast clouds
31,Cidreira,BR,-30.1811,-50.2056,71.22,92,10,10.42,clear sky
32,Punta Arenas,CL,-53.15,-70.9167,44.71,87,40,23.02,scattered clouds
33,Wenling,CN,28.3669,121.36,44.35,84,100,12.08,overcast clouds
34,Ust-Shonosha,RU,61.1531,41.343,2.59,100,100,4.14,overcast clouds
35,Bengkulu,ID,-3.8004,102.2655,81.5,71,100,7.52,overcast clouds
36,Jacareacanga,BR,-6.2222,-57.7528,71.08,99,100,1.07,overcast clouds
37,Lompoc,US,34.6391,-120.4579,52.52,94,0,13.8,light rain
38,Albany,US,42.6001,-73.9662,33.73,94,100,1.12,overcast clouds
39,Mahebourg,MU,-20.4081,57.7,85.24,65,40,4.61,scattered clouds
40,Moose Factory,CA,51.2585,-80.6094,17.6,93,100,6.91,overcast clouds
41,Avarua,CK,-21.2078,-159.775,80.65,89,75,8.05,light rain
42,Port Lincoln,AU,-34.7333,135.8667,64.38,58,1,18.88,clear sky
43,Mount Gambier,AU,-37.8333,140.7667,62.31,52,35,11.48,scattered clouds
44,Moussoro,TD,13.6408,16.4901,63.21,30,0,18.14,clear sky
45,Chowchilla,US,37.123,-120.2602,46.42,87,100,16.11,overcast clouds
46,Rikitea,PF,-23.1203,-134.9692,78.03,77,75,11.61,broken clouds
47,Beyneu,KZ,45.3167,55.2,39.31,62,20,20.02,few clouds
48,Flinders,AU,-34.5833,150.8552,75.06,79,32,4.99,scattered clouds
49,Kapaa,US,22.0752,-159.319,75.52,89,40,1.01,scattered clouds
50,Lebu,CL,-37.6167,-73.65,54.48,83,0,12.17,clear sky
51,Saskylakh,RU,71.9167,114.0833,-16.89,97,100,8.7,overcast clouds
52,Santo Antonio Do Ica,BR,-3.1022,-67.9397,70.3,100,100,1.57,overcast clouds
53,Praia Da Vitoria,PT,38.7333,-27.0667,59.25,82,40,14.14,scattered clouds
54,Betong,TH,5.7743,101.0723,80.02,77,87,4.12,overcast clouds
55,La Victoria,VE,10.2184,-67.3302,65.39,87,1,4.07,clear sky
56,Kahramanmaras,TR,38.0,37.0,37.58,27,0,1.23,clear sky
57,Butaritari,KI,3.0707,172.7902,80.78,74,94,10.0,overcast clouds
58,Abha,SA,18.2164,42.5053,61.05,45,0,0.0,clear sky
59,Bredasdorp,ZA,-34.5322,20.0403,76.15,66,33,6.26,scattered clouds
60,Alihe,CN,50.5667,123.7167,7.63,82,0,3.65,clear sky
61,Cayenne,GF,4.9333,-52.3333,73.44,94,99,4.61,moderate rain
62,Shenjiamen,CN,29.9576,122.298,47.07,61,16,13.44,few clouds
63,Chiredzi,ZW,-21.05,31.6667,84.54,46,0,5.01,clear sky
64,Jalu,LY,29.0331,21.5482,55.0,78,1,10.13,clear sky
65,Sao Cristovao,BR,-11.0147,-37.2064,78.71,83,40,8.05,scattered clouds
66,Evensk,RU,61.95,159.2333,-3.28,65,96,12.41,overcast clouds
67,Asau,RO,46.4333,26.4,29.32,76,29,6.38,scattered clouds
68,Paamiut,GL,61.994,-49.6678,3.11,66,20,8.66,few clouds
69,Mar Del Plata,AR,-38.0023,-57.5575,60.87,88,0,4.61,clear sky
70,Vaini,TO,-21.2,-175.2,78.96,94,75,9.22,broken clouds
71,Bluff,NZ,-46.6,168.3333,61.92,77,100,12.59,overcast clouds
72,Labuhan,ID,-6.8844,112.2051,83.62,75,100,16.26,overcast clouds
73,Naryan-Mar,RU,67.6713,53.087,-2.18,97,98,7.72,overcast clouds
74,Kushiro,JP,42.975,144.3747,22.15,42,20,11.5,few clouds
75,Katsuura,JP,35.1333,140.3,47.88,49,21,3.83,few clouds
76,Tiksi,RU,71.6872,128.8694,-9.74,97,100,7.65,overcast clouds
77,Mollendo,PE,-17.0231,-72.0147,68.13,88,100,5.88,overcast clouds
78,Aketi,CD,2.7388,23.7833,76.12,69,98,1.99,light rain
79,Kirakira,SB,-10.4544,161.9205,80.55,85,100,7.43,moderate rain
80,San Patricio,US,28.017,-97.5169,74.17,96,98,12.28,overcast clouds
81,Tasiilaq,GL,65.6145,-37.6368,-1.07,72,85,3.67,overcast clouds
82,Cape Town,ZA,-33.9258,18.4232,77.11,68,0,5.75,clear sky
83,Yellowknife,CA,62.456,-114.3525,3.72,85,100,15.01,light snow
84,Hilo,US,19.7297,-155.09,71.33,87,0,4.61,clear sky
85,Zhanaozen,KZ,43.3,52.8,44.2,82,99,12.08,overcast clouds
86,Codrington,AU,-38.2667,141.9667,59.76,62,99,14.14,overcast clouds
87,Kamaishi,JP,39.2667,141.8833,31.84,61,19,15.82,few clouds
88,Cherskiy,RU,68.75,161.3,-48.77,100,84,4.85,broken clouds
89,Durango,MX,24.8333,-104.8333,41.0,84,10,5.91,clear sky
90,Salalah,OM,17.0151,54.0924,81.93,46,81,5.61,broken clouds
